;M;F;?;Year;LAT;VERN;
19109;1;;;1471;1;;"""ora pro me misero peccatore"""
19110;;;1;1485;;1;
19111;;;1;1445;;1;
19112;1;;;1462;1;;"""scriptor sit crimine liber"""
19113;;;1;1455;1;;
19114;;;1;1409;1;1;
19115;;;1;1449;1;;
19116;1;;;;1;;"""qui scripsit scribat"""
19117;;;1;1360;1;;
19118;;;1;1390;1;;
19119;;;1;1399;1;;
19120;;;1;;1;;
19121;1;;;;1;;"Quidam religiosus pater"""
19122;1;;;1418;1;;"""per quemdam virum et fratrem religiosum"""
19123;;;1;1444;1;;
19124;1;;;1511;1;;"""per quemdam pauperem monachum"""
19125;;;1;1570;1;;
19126;;;1;1418;1;1;
19127;;;1;1388;1;;
19128;;;1;1237;1;;
19129;;;1;;;;
19130;;1;;;1;;"""scriptrix mente pia solum petit Ave Maria"" ""quondam priorissa """
19131;1;;;1470;1;;"""per quendam fratrem"""
19132;1;;;1415;1;;"""in conventu fratrum praedicatorum"""
19133;;;1;1416;1;;
19134;;;1;1417;1;;
19135;;;1;1438;1;;
19136;;;1;1468;1;;
19137;;;1;1153;1;;
19138;;;1;1430;1;;
19139;;;1;1455;1;;
19140;;;1;1404;1;;
19141;;;1;1421;1;;
19142;;;1;1422;1;;
19143;;;1;1422;1;;
19144;;;1;1433;1;;
19145;;;1;1452;1;;
19146;;;1;1457;1;;
19147;;;1;1460;1;;
19148;;;1;1464;1;;
19149;;;1;1465;1;;
19150;;;1;1465;1;;
19151;;;1;1467;1;;
19152;;;1;1482;1;;
19153;;;1;1488;1;;
19154;;;1;1501;1;;
19155;;;1;1506;1;;
19156;;;1;1461;1;;
19157;;;1;;;1;
19158;;;1;1449;1;;
19159;;;1;1473;1;;
19160;;;1;1488;1;;
19161;;;1;1564;;1;
19162;;;1;;1;;
19163;;;1;;1;;
19164;;;1;1333;1;;
19165;1;;;1393;1;;"""ut sis scriptoris memor in prece cordis et oris"""
19166;;;1;1406;1;;
19167;;;1;1467;;1;
19168;;;1;1460;1;;
19169;;;1;1463;;1;
19170;;;1;1474;;1;
19171;;;1;1463;;1;
19172;;;1;1459;1;;
19173;1;;;1429;1;;"""scriptor preciumque petitus"""
19174;;;1;;1;;
19175;;;1;1404;1;;
19176;;;1;1463;;1;
19177;;;1;1577;;1;
19178;;;1;1422;1;;
19179;;;1;1458;1;;
19180;;;1;;1;;
19181;1;;;;1;;"""scriptor vult premium habere"""
19182;1;;;1424;1;;"""finita per fratrem regularem"""
19183;;;1;1502;1;;
19184;;;1;1428;1;;
19185;;;1;1531;1;;
19186;;;1;1320;1;;
19187;;;1;1352;1;;
19188;;;1;;1;;
19189;;;1;1409;1;;
19190;;;1;1414;1;;
19191;;;1;1414;1;;
19192;;;1;1416;1;;
19193;;;1;1423;1;;
19194;;;1;1427;1;;
19195;;;1;1437;1;;
19196;;;1;1438;1;;
19197;;;1;1441;1;;
19198;;;1;1445;1;;
19199;;;1;1448;1;;
19200;;;1;1453;1;;
19201;;;1;1454;1;;
19202;;;1;1454;1;;
19203;;;1;1459;1;;
19204;;;1;1465;1;;
19205;;;1;1468;1;;
19206;;;1;;1;;
19207;1;;;;1;;"""Liber sancte marie de Esrom"" [Vat. Lat. 636]"
19208;;;1;1316;1;;
19209;;;1;1453;1;;
19210;;;1;1440;1;;
19211;;;1;1467;1;;
19212;;;1;1379;;1;
19213;;;1;1427;1;;
19214;;;1;1437;1;;
19215;;;1;1438;1;;
19216;1;;;1438;1;;"""in domo reverendissimi cardinalis"""
19217;;;1;1456;1;;
19218;;;1;1456;1;;
19219;;;1;1458;1;;
19220;;;1;1458;1;;
19221;;;1;1458;1;;
19222;;;1;1462;1;;
19223;;;1;1362;1;;
19224;;;1;1463;1;;
19225;;;1;1466;1;;
19226;;;1;1468;;1;
19227;;;1;1468;1;;
19228;;;1;1469;1;;
19229;;;1;1569;;1;
19230;;;1;1450;;1;
19231;;;1;;;1;
19232;1;;;1292;1;;"""ad usum Petri de Florentia, OMF"""
19233;;;1;1361;;1;
19234;;;1;1365;1;;
19235;;;1;1368;1;;
19236;;;1;1370;;1;
19237;;;1;1384;1;;
19238;;;1;;1;;
19239;1;;;;1;;"""scriptum in conventu S. Spiritus O. Heremitarum fratrum S. Augustini"""
19240;;;1;1419;;1;
19241;;;1;1421;;1;
19242;;;1;1436;1;;
19243;;;1;1440;1;;
19244;;;1;1440;1;;
19245;;;1;1440;1;;
19246;;;1;1441;1;;
19247;;;1;1443;1;;
19248;;;1;1447;1;;
19249;;;1;1452;1;;
19250;;;1;1455;1;;"""fuit absolutum …1455… inceptum quidem scribi de anno 1451"""
19251;;;1;1457;1;;
19252;;;1;1459;1;;
19253;;;1;1400;1;;
19254;;;1;1463;1;;
19255;;;1;1466;1;;
19256;;;1;1466;1;;
19257;;;1;1468;1;;
19258;;;1;1471;1;;
19259;;;1;1473;1;;
19260;;;1;1475;;1;
19261;;;1;1478;1;;
19262;;;1;1478;1;;
19263;;;1;1480;1;;
19264;;;1;1480;1;;
19265;;;1;1482;1;;
19266;;;1;1482;1;;
19267;;;1;1482;1;;
19268;;;1;1483;1;;
19269;;;1;1483;1;;
19270;;;1;1484;1;;
19271;;;1;1488;1;;
19272;;;1;1489;1;;
19273;;;1;1490;1;;
19274;;;1;1491;1;;
19275;;;1;1491;1;;
19276;;;1;1491;1;;
19277;;;1;1492;1;;
19278;;;1;1492;1;;
19279;;1;;1509;1;;"""...ipsique scriptrici laus..."""
19280;;1;;1510;1;;"""…ipsi quoque scriptrici laus"""
19281;;1;;1511;;1;"""scripto … di manu duna suora del sopra memorato monastero"""
19282;;1;;1517;1;;"in coenobio Muratarum. OBS: ""Qui scripsit scribat"""
19283;;;1;1530;1;;
19284;;;1;1452;;;
19285;;;1;1281;1;;
19286;;;1;1488;;1;
19287;;;1;1550;1;;
19288;1;;;1563;1;;"""a fratribus Fontissalientis"""
19290;;1;;1473;1;;"""Fontisvraldensis ordinis sororis … est (manu) sua … scriptus"""
19291;;;1;1408;1;;
19292;;;1;1493;1;;
19293;;;1;1512;1;;
19294;;;1;1582;;1;
19295;;;1;1479;1;;
19296;;;1;1438;1;;
19297;;;1;1404;1;;
19298;;;1;1483;1;;
19299;;;1;1438;1;;
19300;;;1;1288;1;;
19301;1;;;1475;1;;"""fratribus in Ganda"""
19302;;;1;1381;1;;
19303;;;1;1449;1;;
19304;;;1;1521;1;;
19305;;;1;1450;1;;
19306;;;1;1459;1;;
19307;;1;;1472;;1;"""dit boec hort toe den besloten susteren"" (i same hand som første del av kolofonen)"
19308;;;1;1584;1;;
19309;;;1;1144;1;;
19310;;;1;1464;1;;
19311;;;1;1471;1;;
19312;;;1;1448;;1;
19313;;;1;1542;1;;
19314;;;1;1594;1;;
19315;;;1;1427;1;;
19316;;;1;1400;1;;
19317;;;1;;1;;
19318;;;1;1446;1;;
19319;;;1;1456;;1;
19320;;;1;1460;;1;
19321;;;1;1461;;1;
19322;;;1;1532;1;;
19323;;;1;1399;1;;
19324;;;1;1590;1;;
19325;;;1;1457;1;;
19326;;;1;1406;;1;(Written for the use of the sisterhood of the monastery of St. Katherine at Hasselt)
19327;;1;;1461;;1;"""hoert toe den susteren [Katharinendaele …Hasselt]"
19328;1;;;1429;1;;"""in congregatione fratrum in Monte s. Ieronimi"""
19329;;;1;;1;;
19330;;;1;1320;1;;
19331;;;1;;1;;
19332;1;;;;1;;"""orate pro scriptore propter deum"""
19333;;;1;1444;1;;
19334;;;1;;1;;
19335;1;;;1454;1;;"""finitus … in domo canonicalis possesionis ecclesiae S. Iohannis"""
19336;;;1;1530;1;;
19337;;;1;1425;1;;
19338;1;;;1457;1;;"""qui scripsit sit benedictus"""
19339;1;;;1462;1;;"""missale … scriptus et completus per fratres domus eiusdem pro usu et utilitate ecclesiae eorundem"""
19340;1;;;1469;1;;"""scriptus et completus liber iest per fratres domus clericorum"""
19341;;;1;1502;1;;
19342;;;1;1151;1;;
19343;;;1;1443;1;;
19344;;;1;;1;;
19345;;;1;1464;;1;
19346;;;1;1484;1;;
19347;;;1;1473;1;;
19348;;;1;1489;1;;
19349;;;1;1506;1;;
19350;1;;;1436;1;;"""finitus est hic liber … per manus cuiusdam fratris cruciferi"""
19351;1;;;1442;1;;"""scriptae per manus diversorum fratrum domus huius Hoyensis)"
19352;1;;;1464;1;;"""in conventu Huyensi per fratrem eiusdem conventus"""
19353;1;;;1471;1;;"""in conventu Huyensi … per fratrem eiusdem conventus"""
19354;1;;;1491;1;;"""scriptum in conventu Huyensi"""
19355;;;1;;1;;
19356;1;;;1477;1;;"""scriptum … a quodam fratre professo"""
19357;;;1;1486;1;;
19358;;;1;1432;1;;
19359;;;1;1462;1;;
19360;;;1;1493;1;;
19361;;;1;1470;1;;
19362;;;1;1472;1;;
19363;;;1;1453;1;;
19364;;;1;1417;1;;
19365;;;1;1451;1;;
19366;;;1;1451;1;;
19367;;;1;1487;;1;
19368;1;;;1445;1;;"""me hoc tempore existente plebano"""
19369;;;1;;1;;
19370;;;1;;1;;"""sanctorum cosme et damiani sum liber"""
19371;;;1;1386;1;;
19372;;;1;1461;1;;
19373;;;1;1362;1;;
19374;1;;;1428;1;;"""Orat scriptor ne vendatur liber"""
19375;1;;;1446;1;;"""Scriptae per manus cuusdam cruciferi conventus Leodiensis"""
19376;1;;;1449;1;;"""Excopiatum a quodam fratre OSB"""
19377;;;1;1473;1;;
19378;;;1;1483;1;;
19379;;;1;1507;;1;
19380;;;1;1496;;1;
19381;;;1;1466;1;;
19382;;;1;;1;;
19383;;;1;1406;1;;
19384;;;1;1421;1;;
19385;;;1;1421;1;;
19386;;;1;1440;1;;
19387;;;1;1444;1;;
19388;;;1;1444;1;;
19389;;;1;1449;1;;
19390;;;1;1449;1;;
19391;;;1;1450;1;;
19392;;;1;1454;1;;
19393;;;1;1460;1;;
19394;1;;;1460;1;;"""scriptum in universitate Liptzk"""
19395;;;1;1461;1;;
19396;;;1;1468;1;;
19397;1;;;1470;1;;"""in alma universitate Lipcensi"""
19398;;;1;1474;1;;
19399;1;;;1480;1;;"""in universitate Liptzensi"""
19400;1;;;1492;1;;"""in universitate Lipcziensi"""
19401;;;1;;1;;
19402;;;1;;1;;
19403;;;1;1413;1;;
19404;;;1;1493;1;;
19405;;;1;1344;1;;
19406;;;1;1554;1;;
19407;1;;;1489;1;;"""in monsterio S. Benedicti Lorch"""
19408;;;1;1450;1;;
19409;;;1;1489;1;;
19410;;;1;1521;1;;
19411;;;1;1551;1;;
19412;;1;;1565;;1;"""gescreven in ons convent van Sinte Claren binnen Loven"""
19413;;;1;1435;1;;
19414;;;1;1453;1;;
19415;;;1;1488;;1;
19416;;;1;1588;;1;
19417;1;;;1427;1;;"""nostre peregrinationis benivolo susceptore et ocii studiique fautore magnifico"""
19418;;;1;1456;1;;
19419;;;1;1466;1;;
19420;;;1;1417;1;;
19421;;;1;;;1;
19422;;;1;1481;1;;
19423;;;1;1400;1;;
19424;;;1;;1;;
19425;1;;;1589;;1;(Geschreven dooe en Maastrichtschen kruisbroeder)
19426;;;1;;1;;
19427;;;1;;;1;
19428;;;1;1432;1;;
19429;;;1;1433;1;;
19430;;;1;1504;1;;
19431;;;1;1468;1;;
19432;;;1;;;1;
19433;;;1;1459;1;;
19434;1;;;1483;1;;"""scriptum … per fratres conventus domus Marie Castri"""
19435;;;1;1361;1;;
19436;;;1;1539;1;;
19437;;;1;1463;1;;
19438;;;1;;1;;
19439;;;1;1202;1;;
19440;1;;;1202;1;;"""Qui scripsit scribat"" + ""orate pro huius libri scriptore"""
19441;;;1;;1;;
19442;;;1;1408;1;;
19443;;;1;1419;1;;
19444;;;1;1444;1;;
19445;;;1;1446;1;;
19446;;;1;1446;1;;
19447;1;;;1450;1;;"""transcriptor"""
19448;;;1;1452;;1;
19449;;;1;1454;1;;
19450;;;1;1455;1;;
19451;;;1;1457;1;;
19452;;;1;1458;1;;
19453;;;1;1458;1;;
19454;;;1;1459;1;;
19455;;;1;1459;1;;
19456;;;1;1459;1;;
19457;;;1;1460;1;;
19458;;;1;1461;1;;
19459;;;1;1464;1;;
19460;;;1;1465;1;;
19461;;;1;1467;1;;
19462;;;1;1468;1;;"""transcriptus in 16 diebus cum magno strepitu pullorum, equorum et indomitorum"" "
19463;;;1;1568;1;;
19464;;;1;1589;;1;
19465;;;1;;1;;
19466;;;1;1453;1;;
19467;1;;;;1;;"""praecipit abbas, monachus eius promptus aguitque"""
19468;1;;;1455;1;;"""istud volumen scripsit quidam frater professus huius monasterii"""
19469;1;;;1458;1;;"""Kolomanni in Mellico sub abbate Iohanne scriptus"""
19470;;;1;1401;1;;
19471;;;1;1168;1;;
19472;;;1;;;1;
19473;;;1;1433;1;;
19474;;;1;1503;1;;
19475;;;1;1577;;1;
19476;;;1;1463;1;;
19477;;;1;1439;1;;
19478;;;1;1400;1;;
19479;;;1;1367;1;;
19480;1;;;;1;;"""Et mihi scriptori det deus gaudium omnibus horis"""
19481;;;1;1267;1;;
19482;;;1;;1;;
19483;;;1;1335;1;;
19484;;;1;1370;1;;
19485;;;1;1400;1;;
19486;;;1;1434;;1;
19487;;;1;1497;1;;
19488;;;1;1507;1;;
19489;;;1;1424;1;;
19490;;;1;1441;1;;
19491;;;1;1478;1;;
19492;;;1;1497;1;;
19493;;;1;1445;1;;
19494;;;1;1445;1;;
19495;1;;;;1;;"""Qui scripsit scribat"""
19496;1;;;1440;;1;"""durch den plebanus in Münsterlingen"""
19497;;;1;1408;1;;
19498;;;1;1489;1;;
19499;;;1;1462;;1;
19500;;;1;1468;1;;
19501;;;1;1478;1;;
19502;;;1;1487;1;;
19503;;;1;1487;1;;
19504;;;1;1490;1;;
19505;;;1;1500;;1;
19506;;;1;1472;1;;
19507;;;1;1468;1;;
19508;;;1;1439;;1;
19509;;;1;1400;;1;
19510;;;1;1432;1;;"""quam fecerunt scribere venerabiles patres din din canonici regulares"""
19511;;;1;1445;1;;
19512;;;1;1449;1;;
19513;;;1;1468;1;;
19514;1;;;1385;;1;
19515;1;;;1391;1;;"""vocitati canonicorum regularium"""
19516;;;1;;;1;
19517;;;1;;1;;
19518;;;1;1453;1;;
19519;;;1;1462;1;;
19520;;;1;;1;;
19521;;;1;1455;1;;
19522;;;1;;;1;
19523;;;1;1454;1;;
19524;;;1;1464;1;;
19525;;;1;1472;1;1;
19526;;;1;1547;1;1;
19527;;;1;1598;1;;
19528;;;1;1385;1;;
19529;;;1;1308;1;;
19530;;;1;;;1;
19531;;;1;1277;1;;
19532;;;1;;1;;
19533;1;;;1391;1;;"""Scriptor finit"""
19534;;;1;1408;1;;
19535;;;1;1418;1;;"""Explicit Florista"""
19536;;;1;;1;;
19537;;;1;;1;;
19538;;;1;1435;1;;
19539;;;1;1470;1;;
19540;;;1;1253;1;;
19541;1;;;1337;1;;"""completi in domo fratrum praedicatorum"""
19542;1;;;1338;1;;"""... in domo fratrum praedicatorum"""
19543;;;1;1364;1;;
19544;;;1;1403;1;;
19545;1;;;1446;1;;"""in universitate Oxonie"""
19546;;;1;1521;1;;
19547;;;1;1457;1;;
19548;;;1;1310;1;;
19549;;;1;1333;1;;
19550;;;1;1341;1;;
19551;;;1;;1;;
19552;1;;;1402;1;;"""in conventu fratrum servorum S. Mariae"""
19553;1;;;1409;1;;"""in 1 anno studii mei in iure canonico"""
19554;1;;;1425;1;;"""ad usum fratris … quem fecit scribi"""
19555;;;1;1443;1;;
19556;1;;;1462;1;;"""in alma universitate Paduana"""
19557;;;1;1463;1;;
19558;1;;;1487;;1;"""scripto nel monasterio di S. Justina da Padoa"""
19559;;;1;1540;1;;
19560;;;1;1544;1;;
19561;;;1;1586;1;;
19562;;;1;1475;1;;
19563;;;1;1401;1;;
19564;;;1;1433;;1;
19565;;;1;;1;;
19566;;;1;1464;1;;
19567;;;1;1466;1;;
19568;;;1;1466;1;;
19569;;;1;1472;1;;
19570;;;1;1473;1;;
19571;;;1;1476;1;;
19572;;;1;1399;1;;
19573;;;1;1219;1;;
19574;1;;;1283;1;;"""scripte fuerunt … in domo fratrum predicatorum"""
19575;;;1;1284;1;;
19576;;;1;1295;;1;
19577;1;;;;1;;"""…dicti ordinis fratrum praedicatorum quem fecit scribi"""
19578;;;1;1311;1;;
19579;;;1;1312;1;;
19580;;;1;1317;1;;
19581;1;;;1320;1;;"""Qui scripsit scripta"""
19582;;;1;1320;1;;
19583;;;1;1322;1;;
19584;;;1;1324;1;;
19585;;;1;1330;1;;
19586;;;1;1340;1;;
19587;;;1;1342;1;;
19588;;;1;1343;1;;
19589;;;1;1343;1;;
19590;;;1;1345;1;;
19591;;;1;1355;1;;
19592;;;1;1357;1;;
19593;;;1;1373;;1;
19594;1;;;1380;1;;"""suis scolaribus in scolis antedicti ordinis"""
19595;;;1;1391;1;;
19596;;;1;;1;1;"""femina casta, securis acuta, cliensque fidelis"""
19597;1;;;14??;1;;"""scripsit quidam in S. Bernardi collegio"""
19598;1;;;1402;1;;"""in studio generali civitatis Parisii"""
19599;;;1;1407;1;;
19600;1;;;1418;1;;"""ut det scriptori pro pena gaudia celi"""
19601;;;1;1447;1;;
19602;;;1;1454;1;;
19603;;;1;1460;1;;"""scriptus fuit ex exemplari monasterii s. Victoris"""
19604;1;;;1460;1;;"""finita in conventu Parisiensi OF Heremitarum eximii eccl. Doctoris Augustini"""
19605;;;1;1461;1;;
19606;1;;;1463;1;;"""in collegio Montisacuti"""
19607;;;1;1465;1;;
19608;;;1;1470;1;;
19609;;;1;1471;1;;"""hoc tempore apparebat quedam stella crinata, dicta cometa"""
19610;;;1;1471;1;;
19611;;;1;1471;1;;
19612;;;1;1479;1;;
19613;;;1;1481;1;;
19614;;;1;1461;1;;
19615;;;1;1564;1;;
19616;;;1;1501;;1;
19617;1;;;;1;;"""monachus ille … qui hunc librum scripsit"""
19618;;;1;1332;;1;
19619;;;1;1407;1;;
19620;;;1;1432;1;;
29621;;;1;1457;1;;
19622;;;1;1498;;1;
19623;;;1;1507;;1;
19624;;;1;1359;1;;
19625;;;1;;1;;
19626;;;1;1413;1;;
19627;;;1;1421;;;
19628;;;1;1428;;1;
19629;1;;;1443;1;;"""mihi infelicissimo peccatori qui ipsus (!) scripsi librum"""
19630;;;1;1453;1;;
19631;1;;;1457;1;;"""qui scripsi … in monasterio S. Michaelis de Burgo Pisis"""
19632;;;1;1473;1;;
19633;;;1;1476;1;;
19634;;;1;1556;1;;
19635;;;1;1598;1;;
19636;;;1;1472;1;;
19637;;;1;1438;1;;
19638;;;1;1420;1;;
19639;;;1;1412;1;;
19640;;;1;1467;1;;
19641;;;1;1453;1;;
19642;1;;;1530;;1;"""geschrieben in dem kloster Polling"""
19643;;;1;1582;;1;
19644;;;1;;1;;
19645;;;1;1400;1;;
19646;1;;;1400;1;;"""scriptsit quidam monachus"""
19647;;;1;1311;1;;
19648;;;1;1459;1;;
19649;;;1;1496;1;;
19650;;;1;;1;;
19651;;;1;1357;1;;
19652;;;1;1362;1;;
19653;;;1;1367;1;;
19654;;;1;1367;1;;
19655;1;;;1376;1;;"""scriptum est per honestum virum"""
19656;;;1;1390;1;;
19657;;;1;1396;1;;
19658;;;1;1396;1;;
19659;;;1;1398;1;;
19660;;;1;;1;;
19661;1;;;;1;;"""qui me scribebat, ille nomen nequam habebat"""
19662;1;;;1413;1;;"""in scola canonistarum studii Pragensis"""
19663;;;1;1417;1;;
19664;;;1;1421;1;;
19665;;;1;1444;1;;
19666;;;1;1453;1;;
19667;;;1;1453;1;;
19668;;;1;1453;1;;
19669;1;;;1456;1;;"""in scola Lete Curie"""
19670;1;;;1457;1;;"""in colegio domus nacionis Bohemorum"""
19671;1;;;1457;1;;"""in collectio Regine"
19672;1;;;1475;1;;"""et ipso die fuit apud me sacerdos Mathias de Rabstein"""
19673;1;;;1477;;1;"""als sie gut meister zu Prag gegemacht haben"""
19674;;;1;1480;1;;
19675;;;1;1490;1;;
19676;;;1;1515;1;;
19677;;;1;1523;1;1;
19678;;;1;1582;1;;
19679;;;1;1429;1;;
19680;;;1;;1;;
19681;;;1;1465;1;;
19682;;;1;1467;1;;
19683;;;1;1455;1;;
19684;;;1;1178;1;;
19685;;;1;1334;1;;
19686;;;1;1355;1;;
19687;;;1;1404;1;;
19688;;;1;1468;1;;
19689;;;1;1468;1;;
19690;;;1;1483;1;;
19691;;;1;1483;1;;
19692;;;1;1468;1;;
19693;;;1;1505;1;;
19694;;;1;1557;1;;
19695;1;;;1456;1;;"""in domo Reczonis"""
19696;1;;;1479;1;;in domo Reczonis
19697;;;1;1464;1;;
19698;;;1;1463;1;;
19699;;;1;;1;;
19700;;;1;;1;;
19701;;;1;;1;;
19702;;;1;;1;;
19703;;;1;1326;1;;
19704;;;1;1497;;1;
19705;1;;;;1;;"""de cenobio S. Mariae, qui est in Riopullo"""
19706;1;;;1422;1;;"""scriptum et ordinatum per priorem domus S. Bartholomei de Ripariolo"""
19707;1;;;;;1;"""questo libro e delle monache di Ripoli"""
19708;;;1;1467;1;;
19709;;;1;1467;1;;
19710;;;1;1468;1;;
19711;1;;;1286;1;;"""scripta fuit hec summa Rome apud S. Sabina"""
19712;;;1;1290;;;
19713;;;1;1294;1;;
19714;;;1;1295;;1;
19715;;;1;1383;1;;
19716;;;1;;1;;
19717;1;;;1402;1;;"""in quo die translatus sum de ecclesia Penestrina ad ecclesia Sabinensem"""
19718;;;1;1425;1;;
19719;;;1;1431;1;;
19720;1;;;1445;1;;"""Hoc opus scriptum est in Roma … penes solam ecclesiam S. Bartholomei in domo domini Anthonii in insula"""
19721;;;1;1460;1;;
19722;;;1;1464;1;;
19723;1;;;1467;1;;"""apud S. Mariam Maiorem"""
19724;;;1;1468;1;;
19725;1;;;1469;1;;"""apud S. Mariam Maiorem"""
19726;1;;;1470;1;;"""Rome in S. Eusebii monasterio"""
19727;;;1;1476;1;;
19728;;;1;1496;;1;
19729;;;1;1497;1;;
19730;;;1;1503;;1;
19731;;;1;1541;1;;
19732;;;1;1543;1;;
19733;;;1;1546;1;;
19734;;;1;1566;1;;
19735;;;1;1590;1;;
19736;;;1;1463;1;;"""ad moniales ibidem""?"
19737;;;1;1476;1;;
19738;;;1;1294;1;;
19739;;;1;1503;;1;
19740;;1;;1482;;1;"""Diet boeck hoert toe e susteren van S. Elysabets convent in Rotterdam, a. 1482. Bidt voor den schryver om gods wille"" (?)"
19741;;;1;1450;1;;
19742;;;1;1451;;1;
19743;;;1;1374;1;;
19744;;;1;1471;1;;
19745;1;;;1369;1;;"""fuit solutus de residuo confratrie S. Iohannis Baptiste"""
19746;;;1;;1;;
