Number;Name;colos;Scribes?;Year;LAT;VERN;No.mss;;Place;
1662;Bartholomea;0;0;;;1;0;hallo facto scribere la venerabile religiosa suora Bartholomea;;
1663;Bartholamia;0;0;1467;;1;0;Questo breviario ha facto fare Bartholamia dona;;
1883;Beatrice;0;0;;;1;0;;abesse de Nazareth;
1893;Benedetta;1;1;1464;;1;1;Scritti et chopiati per mano della Benedetta donna di Piero d'Antonio Nicholi;;
1894;Benedicta;0;0;1505;1;;0;Completum fuit opus … Benedictae Honoratae abbatissae etc..;;
2235;Birgitta filia Sighfusi;1;1;1455;1;;1;Ego Birgitta filia sighfusi soror conventualis in monasterio munkalijff prope Bergis scripsi hunc psalterium cum litteris capitalibus licet minus bene quam debui, orate pro peccatrice;soror conventualis in monasterio Munkalijff prope Bergis;
2237;Blancha Maria;0;0;1459;1;;0;Hoc missale … donavit … principissa dna Blancha  … et consors … et filia;;
2238;Bianca Maria Sfortia;1;1;;1;;1;manu propria;;
2355;Brigida (and Svenehild);1;2;1058-85;1;;1;"""may have been the two scribes of the book"" (fin illustrasjon!)";Essen;
2513;Katherine;0;0;;;1;0;…et par la bonnes voluntes de K. pour la quelle elles sont faites.;;
2514;Katherina Adelmanin (abbatissa);0;0;1494;1;;0;antifonarium + graduali i 9 vol, sekv i 2 vol. ;de Nürneberga;
2515;Catharina da Bologna;1;1;;;1;1;Scritto di sua mano della B. Catharina da Bologna;;
2516;Katherine Bourlet;1;1;;1;;1;Explicit. Per manus Bourlet (suer Katherine Bourlet);;
2517;Katherina da Brugg;1;1;1366;1;;1;istum librum procuravit fr. Iacobus … et scriptus est a venerabili sorore Ka. In Rubeo monasterio (Ego kathe dicta zebrugg in rubeo monasterio);In Rubeo monasterio;
2518;Catharina van den Brugge;0;0;1552;;1;0;Bid altyt voer den schryver wt charitaten;;
2519;Katherina von Karpfen;1;1;;;1;1;Bitten got für die bössen schriberinen sch K.;;
2520;Katherina von Karpfen;1;;1548;;1;1;Bitten got für die armen schriberinen das begert sy von gantzen hertzen.;;
2521;Katherijna van Eyck;1;1;1626;;1;1;Dit boek heeft geschreven suster J. ;Collegii societ Iesu;
2522;Katherijn van Eijk;1;1;1568;;1;1;int selfste iaer ende heeft gexcreven suster K. ten bagarden wonende int cloester.;;
2523;Catharina Eschenfelde;1;1;;1;;1;Soro C. ;in Montolii in Langendorf;
2524;Katherine Gentille;0;0;1450;;;0;"""Written at Limoges for K. … wife of marsau Deubost""";;
2525;Katherina van Ghiseghem;1;1;1472;;1;1;Int iaer … begonste suster K. … profes nonne in onse cloester te Iericho aen dit boec van den tabernakel te scriven. ;cloester te Iericho;
2526;Katherin Hofmenin;0;0;;;1;0;K.H dez ist it not die daz buch geschriben hat;;
2527;Katherina Hofmenin;1;;;;1;1;Auch die ez schraip mit irr hant, K. H ist sie genannt;;
2528;Catherina Ingolt;1;1;;;;1;"""written in Strasbourg by C I of the convent of the Rewerin for the use of the convent""";Strasboug, convent;
2529;Katherina von Lyven (oppdragsgiver, skriver navnløs);1;1;1465;;1;1;Item dit buch schreiff eyn suster in dem Iaer unsers heren 1465. Biddent vor sie und vor Jatherina Iohannes hussfrauwe von Lyven;;
2530;Katherine Mast;1;1;1475;1;;1;scriptus est hic liber per manum sorois Katherine Mast moniale professe in Valle Ducis. ;;
2531;Catherine Mesdens ;1;1;;;1;1;copiste;;
2532;Katherina Moleman and Hester Malcoet;1;2;;;1;1;ghescrecen de zuster K.M. hopende een beter. Ende wt sijne mont ghescreven van suster Hester Malcoet religiouse in ons closter van Ihericho. ;;closter can Iericho
2533;Katherine van Molenbeke;1;1;1485;;1;1;volscreven … van suster K.  … hoert toe den cloester der uzen gheplant in Iherico binnen Brussel by sint Katherinen ;;
2534;Katherina Ockerson;1;1;1470;;1;1;Diss puch hat geschriben Swester K.O. der got der her genedig sey mit einim Requiem.;;
2535;Katrijn van Rade;1;1;1478/79;;1;1;Geschreven door K;;
2536;Catherine van Rode;1;1;1487;;1;1;O cart de ste-agnes a Maestricht;;
2537;Katharina Röttin;1;1;;;1;1;"""Nachfolgende stück sind abgeschriben von meiner schwester K. ";;
2538;Catarina von Volkenstorf;1;1;;;1;1;von mir Catarina … beschrieben;Frau von Lichtenstein;
2539;Katerina de Westhoven, Anna Kyttelers, Katerina Regis;1;3;1473;1;;1;Finitus et completus est liber iste per nos sorores … (conventus in Kentrop) … quando regnavit pestis epidemii;;
2540;Catherine Wouters;1;1;1592;;1;1;Bidt om Godts wille eenen Ave Maria voer suster CW die dit wt leifden heeft ghedaen … ;;
2543;Cecilia Hermans;1;1;1507;1;;1;Iste liber est finitus … et scripsit soror CH. Oretis pro ea propter amorem dei;;
2544;Cecilia Hermans;1;;1512;1;;1;iste libellus finitus completus et conscriptus per me CM … Oreits pro ea ex caritate dei.;sanctimonialem OBA in conventu Salvatoris in monte Thabor prope Machliniam;
2545;Cecilie de Monte;1;1;1408;1;;1;completus est liber iste … scriptus per manum Cecilie de Monte, humilis ancille christi. ;;
2546;Cecilia de Senis;0;0;1477;;;0;"""written for a convent of Franciscan nuns by order of sister C d S";;
2720;Cipriana Michiel;0;0;1560;;1;0;Fine della Regola di s. Benedetto ridotta … ad instantia della reverenda madonna CM, abbadessa del Monsterio di s. Lorenzo di Vinetia;;
2732;Clara Hätzlerin;1;1;;;1;1;… daby durch die geschrift bewären wa es geschriben stät;;
2733;Clara Hätzlerin;1;;;;;1;;;
2734;Clara Hätzlerin;1;;1468;;;1;;;
2777;Cleophe von Baden;1;1;1516;;1;1;Bitten got für geistlich schwester CvB … die diss büchlin geschriben hat;in dem closter zu gnodental sanct claren ordens;
2797;Concetissa;1;1;;1;;1;Hic liber est scriptus Concetissa uxore comitis Lupi;;
3152;Cordula v. Schönau;1;1;1499;;1;1;Geschrieben von C v S, schwester zu St. Katherina in St. Gallen;;
3223;Chunegundis;0;0;;1;;0;C abbatissa monasterii s. Georgii in castro Pragensi … istum librum … fecit scribi et contulit ecclesie;Praha;
3224;Kunigunda;1;1;1443;;1;1;Pitt Gott für dei Schreyberin die dicz Puch geschriben hat;a S. Catherine de Nuremberg;
3225;Kunigund und Anna;1;2;1455;;1;1;Dicz püchlein … ward geschryben von zweien swestern K und A.;;
3367;Diemudis ;1;1;;1;;1;s. 11-12, copiste;monialis Wessobrunen;
3368;Diemundis ;1;1;;1;;1;;monialis Admuntensis;
3369;Diemuot;1;1;;1;;1;s. 12, scripsit D;;
3370;Diemot;1;1;;1;;1;Isti sunt libri quos scripsit et S. Petro traditi Diemot ancilla dei;;
3517;Dorotea Broccardi;1;1;;;1;1;Scrito da suor D B;;
3518;Dorotea Broccardi;1;;1523;;1;1;Il ms fu eseguito da suor D B;;
3519;Dorotea Deriethain;1;1;1500;1;;1;a 1499 … ego soror DD professa monasterii mariae … incepi graduale istud de tempore, quod complevi a. 1500;;
3520;Dorotteh feuchnerinn;1;1;;;1;1;dei hatt das geschriben …;;
3521;Dorothea von Hertenstein;1;1;;;1;1;Bittend gott für mich bösse schriberi D v H;;
3522;Dorothea von Hof ;1;1;1483;;1;1;…han ich DvH dis buoch ungeschriben ;Einsiedeln;
3523;Dorothea von Hof ;1;;1483;;;1;;;
3524;Dorothea de Mittelhusen;1;1;1449;1;;1;"""Scripsit D d M""";;
3525;Dürothea Reichingen;1;1;1473;;1;1;ist disz puch auszgeschriben worden von s. D R und gehort in daz closter zu Medingen prediger ord.;;
3526;Dorothea von Riethain;1;1;;;1;1;miniaturiste et calligraphe;;
3543;Dulcia;1;1;;1;;1;Ego D scripsi et susscripsi istum librum rotarum;;
3563;E;1;1;1476;;1;1;Pit got fur die schreiberin E;;
3592;Eadburga;1;1;;;;1;(If Eadburga [abbess of Minster in Thanet] was a highly skilled scribe…;;
3711;Eleonora of Aragon;0;0;1480;;;0;Written at Ferrara for … duchess of Aragon;;
3722;Elizabeth;0;0;1315;1;;0;…comparatus est liber iste…;;
3723;Elzebeten;0;0;1316;;1;0;…is ditz büch erzüget von der hochgeborn… ;;
3724;Elizabeth;0;0;1370;;;0;… hat gezüget diz büch.;;
3725;Elyzabeth;;;;1;;1;Finis quod Quene Elyzabeth;;
3726;Elisabet;1;1;1400-t;1;;1;Elisabet est nomen meum (in same hand as gradual);;
3727;Elizabeth;1;1;1500-t;;;1;(wholly in the handwriting of Queen Elizabeth who prefixed…);;
3728;Elyzabeth de Aenstel;;;1537;1;;0;E. abbatissa s Servatii … me fieri fecit;;
3729;Elizabeth van Axel ;1;1;1549;;;1;(E, abbesse de Rozendaal écrit une traduction…);;
3730;Lysken van der Beke;1;1;1498;;1;1;Dit boecksken heeft gescreven L…;(monastic);
3731;Elyzabeth de Borchthorpe;1;1;1572;;;1;Liber … quem scribi fecit reverenda dna E. abbatissa huius loci zelatrix…;;
3732;Lysbeth van Elderen;1;1;1549;;1;1;Dit boeck heefl ghescrieven suster L..;cloester van S. Elyzabeth in der berch van Synay binnen Bruesel;
3733;Lysbet Everdeys;1;1;1468;;1;1;Dit boc was volscreven… bi mi suster L. ;Bergenh, nonnencloester te sinte Mergriete int dal van Iosaphat;
3734;Elisabetha Hyttlen;1;1;;;;1;;;
3735;Lysbeth Lenaerts;1;1;1578;;1;1;Diesen boeck heest ghescreven Suster L…;;
3736;Elisabeth der Moeien;;;14-1500-t;;;1;Suster E. ;;
3737;Lysbeth Molijn;1;1;c. 1500;;1;1;(Geschreven door suster L.);;
3738;Elizabeth Mundpratin;1;1;c. 1483;;1;1;(Geschrieben … von Schwester E. zu St. Kathrinen;;
3739;Elyssabetten Mundprättin;1;1;1490;;1;1;;;
3740;Elijsabeth van Olden Bernevelt;0;0;c. 1500;;1;0;Dyt boeckt hoert toe suster E.;;
no;Helisabeth Plegafetta;;;;;;0;(see Iosephus Reathus);;
3741;Lysbet van Poele;1;1;1400-t;;1;1;Dit boec … hevet gescreven suster L.;den cloester van Iericho binnen Bruesel;
no;Elisabeth Scmidin;;;;;;0;(see Conradus Durren);;
3742;Elysabeth de Strabach;1;1;;1;;1;Scripta per manus sororis E. … monialis professe in Rubi divi Georgii m.;;
3743;Lysken Tack;1;1;d.1506;;1;1;is dit boeck voleynt;S. Francisci binnen Antwerpen;
3744;Elyzabeth Tunnein;1;1;1342;1;;1;;;
3745;Lijsbeth Vliechs;1;1;1474;;1;1;Dit boec es volscreven … van Suster L;onser liever vrouwers te Yericho dat men het te sint Katerinen;
3746;Elizabeth Vliege;1;;s. 15 2/2;;;1;;;
3747;Lysbeth Waelbeerts;1;1;1400-t;;1;1;…et het hevet ghescreven suster L…;den cloester von Iherico binnen Bruesel;
3748;Lysbeth Wytens, Margriet Raes, Kathlinen van Molenbeke ;1;3;1300-t;;1;1;;;
3768;Hemma;0;0;1323;1;;0;Hunc libellum Hemma venerabilis principissa pro remedio anime sue in honore beati Venceslavi martiris fieri iussit.;;
3769;Hemma de Husen (mater scriptricis);1;1;;1;;1;obiit mater scriptricis;;
3777;Endlin;1;1;1464;;1;1;(Geschrieben a. 1464 von Schwester Endlin);;
no;Endura;;;;;;0;(see Sebastianus);;
3928;Irmingard;1;1;1100-t;;;1;(I. copiste, moniale);Admont avec Regelindis;
3929;Irmengart;1;1;1100-t;1;;1;(Scripsit soror I. obtentu propositi Hainrici);;
3930;Irmengart (same as above?);1;;;1;;1;(Scripsit soror I. obtentu  Hainrici propositi);;
3931;Ermengarde;1;1;1178-1191;1;;1;scriptus a dna Ermengarde;Liber S. Adriani m. in Lamesprigge;
3948;Esther Langlois;1;1;1599;;1;1;Escrites... par E;Lislebourg (Edinburgh);
3949;Esther Anglois (same as above?);1;;1600;;1;1;Escrites… per E.;;
3950;Esther Anglois (same as above?);1;;1600;;1;1;…par;;
3951;Esther Inglis;1;;1615;;1;1;escrits par E;;
3952;Esther Inglis (same as above?);1;;1617;;1;1;escrit par E;;
3953;Esther Inglis (same as above?);1;;1617;;1;1;escrits par E;;
3954;Esther Inglis (same as above?);1;;1624;;1;1;tirez et tracez par la main et plume de moy E lan de mon age 53 a ;Lislebourg (Edinburgh);
no;Hester Malcoet;;;;;;0;(see Katherine Moleman);;
no;Eufemia;;;1472;;;0;(see Symon Rösch);;
no;Eufraxia abbatissa;;;;;;0;(see Donatus Suchari);;
3961;Eufrasie;1;1;;1;;1;Qui scrissit scribat sorori Eufrasie;monte Luco;
3962;Eufrasia figliuola di Alfano da Perugia;1;1;1488;;1;1;Questo libro fu incominciato;;
3963;Euphrasia Burlamacchi;1;1;1515;;1;1;(6 liturgical ms written);covent of Domenico at Lucca;
3964;Efrosina Som;1;1;;;1;1;Efrosina Som (?) scripsit;;
no;Eusebia;;;;;;0;(see Girbalda);;
no;Fausta;;;;;;0;(see Gondohinus);;
no;Florina de Sorbiate;;;;;;0;(see Antonius de Vico Mercato);;
no;Franchischina de Confortis;;;;;;0;(see Antonius Lucretie;;
4750;Gallina (joke?);;;;;;0;;;
no;Gherarda Han;;;;;;0;(see Gherardus Theodrici);;
5353;Gerdrut, Sibilia, Vierwic, Walderat, Hadewic, Lugart, Ota, Cunigunt;1;8;1134;1;;1;Heac sunt nomina illarum que scripserunt librum istum;;
5354;Gerdrudis;1;1;;1;;1;Explicit expliceat Scriptrix Deo gratias;;
5355;Ghertruit Bay;;;1493;;1;0;;;
5356;Gertgenken van Duren;1;1;1470;;1;1;geendichet ind gescreven durch suster G;Wenauwen;
5357;Druda de Elfenhusen;1;1;1300-t;1;;1;Istum libellum scripsit soror D. OFP;;
5358;Gheerewt Ghijsbert Staden;1;1;1442;;1;1;Dit boeck heeft doens scriven G.;;
5359;Gertruyt Vastaerts;1;1;1467;;1;1;Dit boeck wert voleynt int iaer … by der hant suster G.;;
5397;Girbalda, Gislildis, Agleberta, Adruhic, Altildis, Gisledrudis, Eusebia, Vera, Agnes;1;9;800-t;1;;1;;;
5652;Guda;1;1;1100-t;1;;1;Guda peccatrix mulier scripsit et pinxit hunc librum;;
no;Gundisa abbatissa;;;;;;0;(see Isidorus, 938);;
6166;Güteline von Esselingen;1;1;1321;;1;1;..do wart dis bück volleschriben Iungfrow G.;;
no;Haes van Heeswijck;;;;;;0;(see Gheertrwt Ghijsbert;;
no;Helena;;;;;;0;(see Ugo Gugliermi);;
no;Helena von Hürnheim;;;;;;0;(see Thomas Finck);;
6273;Helene;1;1;1100-t;1;;1;qui scripserit Helene dictus;;
no;Hermine;;;;;;0;(see Iohannes de Salesburi;;
7222;Hildgarda;0;0;;1;;0;Hoc opus eximium Franchorum scribere Carlus, Rex pius egregia Hildgarda cum coniuge iussit;;
no;Hildegradis abbatissa Bingen;;;;;;0;(see Johannes Trithemius);;
no;Hilla ;;;;;;0;(see Iohannes): uxor Iohannis illuminatrix;;
7229;Hilliken Kyesendaels;1;1;1470;;1;1;…voer die arme scriversche;;
7410;I. B (=Illuminata Bembo);1;1;1466;;;1;(Written by I.B.);;
7510;Ia. B;1;1;1388;1;;1;Et sic finis … in Hradek per Ia. B. a. D. 1388 in Hradek die proxima ante Calixti;Hradek;
7511;Ia. Be.;1;1;1465;1;;1;Explicit liber … complectum vel scriptum per Ia. Be. Die 18 febr. 1465 in Arce Pergami tempore regiminis sp. Ac generosi Din F. V. dignissimi castellani in predicta nocte;;
7512;Ia. De Bosco;1;1;s. 15;1;;1;Explicit Ia. De Bosco.;;
7513;Ia. Cassenheni;1;1;s. 14;1;;1;(Scriptus a) Ia. Cassenheni;;
7514;I. Hurlini;1;1;1458;1;;1;Finis per me Ia. Hurlini de Met.;;
7517;Jacqueline de Lalaing;;;1532;;1;0;Ce present journal a l'usage de Cisteaux appartient a dame Jacquline de Lalaing abbesse du monastere de Flines et fut escrit l'an nostre seigneur 1532.;;
8096;Yda van Rillaer.;1;1;1552;;1;1;Int iaer ons heeren 1552 soe was desen boec volscre(ven) bij mij Suster Yda van Rillaer. Bidt voer mij om den sueten naem Gods.;;
8334;Jehanne Boupsant;1;1;s. 16;;1;1;Pries bien Iesus et Marie pour seur Jehanne Broupsant votre indigne fille Deo gracias et Mariae;;
8335;Jeanne Camermans;1;1;s. 15;;1;1;Soeur Jeanne Camermans copiste pour Bethleem;;
8336;Jeanne de Chatillon;1;1;;;1;1;Cilz romanz est a la duchesse /  Datheine….;;
8337;Jehanne de Clermont;;;1551;;1;0;…escript par le commendement de reverend dame Jehanne de Clermont abbesse de l'abbaye de la saincte Trinite de Poitiers;;
8338;Ianne Colyns;0;0;1507;;1;0;Desen boeck heeft ghescreven Sr. Ianne Colyns…;;
8339;Iohannem Colyns;0;0;;;1;0;Desen boeck wert ghescreven int jaer ons heeren 1510 von Sr. Iohannem Colyns…;;
8340;Jehanne Gerande;;;1466;;1;1;…fait a l'an 1466 a l'instance de … seur Jehanne Gerande;;
8341;Jeannette Grebord;1;1;1471;;1;1;Ecrit par Jeannette Grebord le 10 iour de march an (14)71 avant Pasques.;;
8342;Janneken Hubrechts;1;1;1585;;1;1;Dit boeck es ghescreven van mij suster Janneken Hubrechts…;;
8343;Jeanne de Laval;;;s. 15;;;0;cf. Aegidius le Fourrier, Gilles Renart, Iohannes Herling, Jean de la Court, Petrus Herlin, Petrus Rongeul (?);;
8344;Jenne Le Fevre;1;1;1503;;1;1;commenciet par moy Jenne Le Fevre…;;
8345;Iohanne de Malone;1;1;1477;;1;1;Lan (14)77 fut fait et accomplis par sour Iohanne de Malone;;
8346;Janne Reyngout;1;1;s. 15;;1;1;(Janne Reyngout copiste de N. D. de Syon, Bruges, s. 15);;
10098;Isabeau;0;0;1464;;1;0;Isabeau aisnee fille de roy d'Escoce duchesse de Bretaigne…;;
10698;;0;0;1500;1;;0;pro venerabili ac devota moniali sorore Maria Luebs;;
11327;Margaretha von Kappel;0;0;1482;;1;0;(Margaretha had it made, German);;
11983;Yoles Viennensis;0;0;1269;1;;0;Hunc librum fecit priorissa soror Yoles Viennensis scibi sororibus in Valle s. Marie a. d. 1269…;;
12025;Ysabela de Gebria;0;0;;1;;0;Soror Ysabela de Gebria que dedit 20 marcas ad librum istum complendum…;;
12059;Julien de Bugnies / Jeanne de Baillencourt;0;0;1566;;1;0;A la requeste de noble et vertueuse dame madame Jeanne de Baillencourt….;;
12583;Lippa;1;1;s. 14 2/2;1;;1;….soror Lippa nomine felix;;
12595 (?);Lievine Moreel;1;1;;1;;1;(ecrivent un livre de choeur pour N.-D.-di-Sion, Bruges);;
12618;Marie de Cleves;0;0;;;1;0;(relie pour Marie de Cleves);;
12664;Lucretia de Beninis;1;1;s. 15 ex;0;;1;Tempore Sororis Lucretia de Beninis digne Abbatisse Sancte Clare de /////;;
12665;Lucretia Ferrariensi;;;1491;0;;0;…existente abbatissa et matre dna sorore Lucretia Ferrariensi de Colcetis…;;
12893;Magdalena Rosentalerin;;;1488;;1;0;…durch die ersam fraw Magdalena Rosentalerin zu gedechtnusz ir und vier geslecht sein….;;
no no.;Mansueta;;;;;;0;Mansueta dna s. Grate OSB. Cf Stephanus de Tirabuschis O. Celest, s. 15;;
12931;Maralde van Zallant;1;1;1491;;1;1;Item dit boeck havent gescreven te lave gades der heiliger Jofferent sint Agnete te eren om bed. Wil Suster Marlde van Zallant suppriorynne….;;
13009;Margareta;;;1359;;;0;(relie en Angleterre pour Jean d'Orleans en 1359);;
13010;Margareta, Marie, Katherina;1;3;1467;1;;1;Iste liber scriptus est per me Margaretam professam huis monasterii beatiss. Marie v…Obiit Barbara de Bopardia scriba huius monasterii 1562…Katherina de Disyngen qoundam scriba huius monasterii per annos circiter 40 obiit a. 1555;;
13011;Margiete van Beleyn(s);1;1;;;1(?);1;Dit boec is wt Gog (!)…voer Margriete van Beleyn(s) dochter diet gescreven heeft.;;
13012;Margarete Blocs;1;1;1451 (1452(?);1;;1;Iste liber scriptus est per manus sororis Margarete Blocs…;;
13013;Margareta Bruunruwe;1;1;1505;1;;1;Hoc temporale scripsit atque conplevit soror Margareta Bruunruwe monialis professa VIIa domus Syon in Brugis…;;
13014;Margaretha Karteuserin;1;1;1458-70;1;;1;Iar hat beschrieben diss Puch Swester Margaretha Karteuserin czu nutz irem Kloster zu Sant Kathrein in Nurnperg;;
13015;Maguerite de Chauvigny;1;1;1465;;1;1;Et fu achave ledit livre le 19 jour de descembre lan 1465. Marguerite de Chauvigny;;
13016;Margriete Doersdaell;;;early 15. c;;;0;(Written for Margriete Doesdaell in the Neherlands (sic), early 15th c.);;
13017;Marguerite du Bosc;;;1462;;1;0;…a la requeste de tre honnourable dame religieuse dame Marguerite du Boxc…St Legier de Preaulx.;;
13018;Marg. Gudii;1;1;;1;;1;In biblioth. Guelferbytana extat exemplar manu Marg. Gudii descriptum;;
13019;Margriete Iheronimus;1;1;;;1;1;Dit boeck heeft ghescreven Margriete Iheronimus dochter ter eeren gods ende…;;
13020;Margaretha Imhof, Margaretha Karteuserin;1;2;1452;;1;1;…habent diss puch geschriben Swester Margaretha Imhof und Swester Margaretha Karteuserin zu nutz iren Kloster czu Sant Kathrein in Nurnberg;;
13021;Marguerite Le Blanc;;;1460;;1;0;Ce petit livre … est a dame Marguerite fille de noble homme Jehan Le Blanc citien de Besancon et fut parfait le 25 daost 1460;;
13022;Mergriete van den Perboen;1;1;1569-70 (?);;1;1;desen bouc heeft ghescreven suster Mergriete van den Perboen….;;
13023;Marguerite de Prie;;;1470;;1;0;…dame Madame Marguerite de Prie prieuse de la ferte a fait Escripre;;
13024;Margarita Salucii;1;1;1470;1;;1;1470…ego soror Margarita filia Alexii Salucii ingressa sum monasterium…hunc breviarium…scribi volui…;;
13025;Margareta Scheiffartz;1;1;;;1;1;Omnis picutra et floraturs istius libri depicta ac florata est per Margaretam Scheiffartz de Meirrode quondam filiam in Bornhem regularissam in Schillinx capellen…;;
13026;Margaretha von Schonbergk;1;1;s. 15-16;;1;1;Margaretha von schonbergk hat diss geschriben mit yrer lyncken hant…;;
13027;Marguerite de Thieuville;;;c. 1401;;1;0;Et les fist faire et escripre dame Marguerite de Thieuville en son temps abbesse de ladicte abbaie;St Trinite de Caen;
13028;Margarete Vincherina;1;1;s. 14;1;;1;Que me scribebat Margarete Vincherina nomen habebat.;;
13029;Margrieten der Weduwen;1;1;1574;;1;1;…was dit boeck volscreven…suster Margrieten der Weduwen…tot Bruesel in Sinte Elizabetten clooster op dem Berch van Syon…;;
13030;M. Wisentaverinn;1;1;before 1403;;1;1;unn ich auch M(argarethe von) Winsentaverinn;;
13031;Greta van Wysschel;1;1;1461;;1;1;…ich Greta van van Wysschel obel geschreven…Das boich ist des Iunffrawen cloesters zu Schoenawe;;
13032;Margaret Zürlin;;;1489;;1;1;…das puch…hat geschriben Swester Margaret Zürlin…;;
13035;Maria;;;s. 15;1;;0;(Ecrit pour Marie de Savoie, femme de Philippe Marie Visconti (1428-47);;
13036;Maria;1;1;1480;;1;1;Laus Deo in nel 1480 si e fofato questo libero per man de mi Maria…;;
13037;Maria de Abarce;;;;;;0;cf Bradley I 1.;;
